column,value_a,count_a,value_b,count_b,similarity
q3_15b,GETTING THE JOB COMPLETE,4,GETTING THE JOD COMPLETED,1,0.976
q3_15b,GETTING THE JOB COMPLETED,24,GETTING THEJOB COMPLETED,1,0.975
q3_15b,WAS TOLD TO WORK A LITTLER LATER,1,WAS TOLD TO WORK A LITTLE LATER,1,0.974
q3_15b,WORK ADDITIONAL HOURS INORDER TO COMPLETE TASK,1,WORK ADDITIONAL HOURS INORDER TO COMPLETE WORK,1,0.974
q3_15b,WORK MORE HOURS IN ANOTHER JOB,4,WORK MORE HOURS IN ANOTHER,1,0.973
q3_15b,WORK ADDITIONAL HOURS INORDER TO COMPLETE WORK,1,WORK ADDITIONAL HOUR INORDER TO COMPLETE TASK,1,0.969
q3_15b,GETTIN THE JOB COMPLETED,1,GETTING THEJOB COMPLETED,1,0.966
q3_15b,GETTING THE JOB COMPLETE,4,GETTING THEJOB COMPLETED,1,0.966
q3_15b,WORK LONGER HOURS THAN USUAL,9,WORKED LONGER HOURS THAN USUAL,9,0.965
q3_15b,JUST WORK MORE HOURS,7,JUST WORKING MORE HOUR,1,0.963
q3_15b,ADDITIONAL WORK TO BE DONE,2,ADDITIONAL WORK TO DO,1,0.962
q3_15b,WORK LONGER HOURS THAN USUAL,9,WORK LONGER  HOURS THAN USUAL,1,0.957
q3_15b,WORK EXTRA HOURS IN THE SAME JOB,1,WORK EXTRA HOURS IN THIS JOB,1,0.954
q3_15b,WORK ASSIGNED BY MINISTRY,1,WORK ASSIGNED BY ADMINISTRATOR,1,0.952
q3_15b,ADDITIONAL WORK NEEDED,1,ADDITIONAL WORK DONE,1,0.952
q3_15b,REQUIRED TO WORK MORE,1,REQUIRED TO WORK,1,0.952
q3_15b,GETTING  THE JOD COMPLETE,1,GETTING THE JOD COMPLETED,1,0.951
q3_15b,ADDITIONAL WORK,2,ADDITIONAL WORK DONE,1,0.95
q3_30,GUYANA POLICE FORCE COMMUNITY POLICING GROUP,1,GUYANA POLICE FORCE: COMMUNITY POLICING GROUP,1,0.996
q3_30,JOHN FERNANDES GROUP OF COMPANIES: FAIRFIELD INVESTMENTS,1,JOHN FERNANDES GROUP OF COMPANIES :FAIRFIELD INVESTMENTS,1,0.996
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSON HOME",1,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSONS HOME",1,0.996
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSON HOME",1,NO OFFICIAL BUSINESS NAME JUST WORK AT PERSON HOME,1,0.996
q3_30,GUYANA SUGAR CORPORATION (GUYSUCO),27,GUYANA SUGAR CORPORATION  (GUYSUCO),1,0.994
q3_30,GUYANA SUGAR CORPORATION ( GUYSUCO),1,GUYANA SUGAR CORPORATION  (GUYSUCO),1,0.994
q3_30,VARIETY WOOD AND GREENHEART LTD,6,VARIETY WOODS AND GREENHEART LTD,4,0.994
q3_30,BOSAI MINERALS GROUP GUYANA INC,2,BOSAI MINERALS GROUP GUYANA INC.,1,0.994
q3_30,GUYANA SUGAR CORPORATION (GUYSUCO),27,GUYANA SUGAR CORPORATION ( GUYSUCO),1,0.994
q3_30,GUYANA GEOLOGY AND MINES COMMISSION,2,GUYANA GEOLOGY AND MINES COMISSION,1,0.994
q3_30,GUYANA GEOLOGY AND MINES COMMISSION,2,GUYANA GEOLOGY AND MINES COMMISION,1,0.994
q3_30,MINISTRY OF INDIGENOUS AFFAIRS,3,MINISTRY OF INDIGENOUS AFFAIR,1,0.993
q3_30,HOME SAFE SECRUITY SERVICE,1,HOME SAFE SECRUITY SERVICES,1,0.993
q3_30,PROFESSIONAL GUARD SERVICES,3,PROFESSIONAL GUARD SERVICE,2,0.993
q3_30,GOVERNMENT TECHNICAL INSTITUE,1,GOVERNMENT TECHNICAL INSTITUTE,1,0.993
q3_30,COURTNEY BENN CONSTRUCTION,2,COURTNEY BENN CONSTRUCTIONS,1,0.993
q3_30,Guyana rice devlopment borad,1,Guyana rice devlopment broad,1,0.993
q3_30,MINISTRY OF NATURAL RESOURCES,1,MINISRTY OF NATURAL RESOURCES,1,0.993
q3_30,REGIONAL DEMOCRATIC COUNCIL,17,REGIONAL DEMOCRATIC COUNCILS,1,0.993
q3_30,BOSIA MINERALS GROUP GUYANA INC,2,BOSAI MINERALS GROUP GUYANA INC,2,0.992
q3_30,DEMERARA TIMBERS LIMITED,2,DEMERARA TIMBERS LLIMITED,1,0.992
q3_30,GUYANA SUGAR COOPERATION,27,GUYANA SUGAR  COOPERATION,1,0.992
q3_30,GUYANA SUGAR COOPERATION,27,GUYANA SUAGR COOPERATION,1,0.992
q3_30,DEMERARA DISTILE LIMITED,3,DEMERARA DISTILE  LIMITED,1,0.992
q3_30,PRAVITE HOME BABY SITTER,1,PRAVITE HOME BABYSITTER,1,0.992
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT PERSONS HOME",1,NO OFFICIAL BUSINESS NAME JUST WORK AT PERSON HOME,1,0.992
q3_30,HOME SAFE SECURITY SERVICE,8,HOME SAFE SECRUITY SERVICE,1,0.992
q3_30,DEMERARA TIMBER LIMITED,6,DEMERARA TIMBERS LIMITED,2,0.992
q3_30,MAYOR AND CITY COUNCIL,9,MAYOR AND CITY COUNICL,1,0.991
q3_30,JACK CONSTRUCTION LTD,1,JACK CONSTRUCTION  LTD,1,0.991
q3_30,SINGHS CASH AND CARRY,1,SINGH'S CASH AND CARRY,1,0.991
q3_30,ROSHELLE'S MINING  ESTB,1,ROSHELLE'S MINING ESTB,1,0.991
q3_30,BRANS SECURITY SERVICE,2,BRANDS SECURITY SERVICE,1,0.991
q3_30,TRANSPORT AND HARBOUR,2,TRANSPORT AND HARBOURS,1,0.991
q3_30,ENMORE  ESTATE  GUYSUCO,1,ENMORE  ESTATE GUYSUCO,1,0.991
q3_30,BRANS SECURITY SERVICE,2,BRANS SECURITY SERVICES,1,0.991
q3_30,COURTNEY BENN CONSTRUCTION,2,COOURTNEY BENN CONSTRUCTION,1,0.99
q3_30,MINISTRY OF EDUCATION,53,MINISTRY OF EDUCTION,1,0.99
q3_30,GUYANA POLICE FORCE,46,GUYANA POLICE FORCES,1,0.99
q3_30,RUSAL BAUXITE COMPANY,2,RUSAL BAUXTIE COMPANY,1,0.99
q3_30,NOBLE HOUSE SEAFOOD,1,NOBLE HOUSE SEAFOODS,1,0.99
q3_30,Ministry of education,1,Minitsry of education,1,0.99
q3_30,BOSIA MINERAL GROUP INC,1,BOSAI MINERAL GROUP INC,1,0.99
q3_30,MOHAMED POULTRY FARM,2,MOHAMMED POULTRY FARM,1,0.99
q3_30,MINISTRY OF HEALTH,18,MINISTRY OF HEATH,1,0.989
q3_30,SUTHANS FAMILY FARM,2,SUTHAN FAMILY FARM,1,0.989
q3_30,MASSEY DISTRIBUTION,1,MASSY DISTRIBUTION,1,0.989
q3_30,GUYANA GOLD FIELDS,2,GUYANA GOLD FIELD,1,0.989
q3_30,MINISTRY OF EDUCATION,53,MINSTRY OF EDUCATION,1,0.989
q3_30,SIMONE ENTERPRISED,1,SIMONE ENTERPRISE,1,0.989
q3_30,CONSTRUCTION SITE,2,CONSTRUCTION SITES,1,0.989
q3_30,CONSTRUCTION SITES,1,CONSTURCTION SITES,1,0.989
q3_30,HOME SAFE SECURITY,8,HOME SAFE SECRUITY,1,0.989
q3_30,MASSY INDUSTRIES,1,MASSEY INDUSTRIES,1,0.988
q3_30,GUYANA SUGAR CORPORATION (GUYSUCO),27,GUYANA SUGAR VORPORATION (GUYSUCO),1,0.988
q3_30,MINISTRY OF PUBLIC INFRASTRUCTURES,1,MINISTRY OF PUBLIC INFRASTRUCTUTRE,1,0.988
q3_30,TRUCKING SERVICES,1,TRUCKING SERVICE,1,0.988
q3_30,MINISTRY OF PUBLIC INFRASTRUTURE,1,MINISTRY OF PUBLIC INFRASTRUCTURES,1,0.988
q3_30,VARIETY WOODS AND GREENHEART LTD,4,VARIETY WOODS AND GREEBHEART LTD,1,0.988
q3_30,NATIONAL LIBERARY,2,NATIONAL LIBRARY,1,0.988
q3_30,BLAIRMOUNT ESTATE,2,BLAIRMONT ESTATE,1,0.988
q3_30,NEIGHBOURHOOD DEMOCRATIC COUNCIL,3,NEIGHNOURHOOD DEMOCRATIC COUNCIL,1,0.988
q3_30,MINISTRY OF PUBLIC INFRASTRUTURE,1,MINISTRY OF PUBLIC INFRASTRUCTUTRE,1,0.988
q3_30,GUYANA GEOLOGY AND MINES COMISSION,1,GUYANA GEOLOGY AND MINES COMMISION,1,0.988
q3_30,TELEPREFORMANCE,1,TELE PREFORMANCE,1,0.988
q3_30,BK INTERNATIONAL,2,BK INTERNATIONALS,1,0.988
q3_30,TOOLISE PERSAUD,1,TOOLSIE PERSAUD,1,0.987
q3_30,STABREOK MARKET,1,STABROKE MARKET,1,0.987
q3_30,TELEPROFERMANCE,1,TELEPREFORMANCE,1,0.987
q3_30,TIMHERI AIRPORT,1,TIMHERIAIRPORT,1,0.987
q3_30,STABROEK MARKET,2,STABROKE MARKET,1,0.987
q3_30,TELEPERFORMANCE,3,TELEPROFERMANCE,1,0.987
q3_30,STABROEK MARKET,2,STABREOK MARKET,1,0.987
q3_30,TELEPERFORMANCE,3,TELEPREFORMANCE,1,0.987
q3_30,BOSIA MINERAL INC,5,BOSAI MINERAL INC,3,0.986
q3_30,REPUBLIC BANK,3,REPUBLIC  BANK,1,0.986
q3_30,KENNARDS FARM,1,KENNARD'S FARM,1,0.986
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON SITE",1,"NO OFFICIAL BUSINESS NAME, JUST WORKS ON SITE",1,0.986
q3_30,GUYANA POST OFFICE COPORATION,1,GUYANA POST OFFICE COOPERATION,1,0.986
q3_30,PRIVATE HOMES,2,PRIVATE  HOMES,1,0.986
q3_30,GUYANA POST OFFICE CORPORATION,1,GUYANA POST OFFICE COPORATION,1,0.986
q3_30,PRAVITE HOME CARE,1,PRAIVTE HOME CARE,1,0.986
q3_30,BERBICE EDUCATION INSTITUTE,1,BERBICE EDUCATIONAL INSTITUTE,1,0.986
q3_30,SELF EMPLOYED,40,SELF  EMPLOYED,1,0.986
q3_30,MODERN HAIR FASHION,1,MORDEN HAIR FASHION,1,0.986
q3_30,BANKS DIH LTD,2,BANK DIH LTD,1,0.985
q3_30,NATIONAL INSURANCE SCHEME,4,NATIONAL INSURANCE  SCHEMES,1,0.985
q3_30,HOME SAFE SECURITY SERVICE,8,HOME SAFE SECURITY SERVICW,1,0.985
q3_30,HOME SAFE SECURITY SERVICE,8,HOME SAFE SECRUITY SERVICES,1,0.985
q3_30,AMELIA'S WARD,2,AMELIAS WARD,1,0.985
q3_30,JOHN'S MINING,1,JOHNS MINING,1,0.985
q3_30,PRIVATE HOME,6,PRIVATE HOMES,2,0.985
q3_30,HOME SAFE SECURITY COMPANY,1,HOME SADE SECURITY COMPANY,1,0.985
q3_30,SELF EMPLOYED,40,SELF EMLPOYED,1,0.985
q3_30,SELF EMPLOYED,40,SELF EMPLOEYD,1,0.985
q3_30,BOSIA MINERALS GROUP GUYANA INC,2,BOSAI MINERALS GROUP GUYANA INC.,1,0.985
q3_30,NAND PERSAUD AND COMPANY( #36 VILLAGE),1,NAND PERSAUD AND COMPANY(#36 VILLAGE),1,0.984
q3_30,GUYANA TRLEPHONE AND TELEGRAPH COMPANY,1,GUYANA TELEPHONE AND TELEGRAPH COMPANY,1,0.984
q3_30,BOSAI MINERAL INC,3,BOAIS MINERAL INC,1,0.984
q3_30,MINISTRY OF LEGAL AFFAIRS,1,MINISTRY OF LEGAL AFFIAR,1,0.984
q3_30,RORIAMA AIRWAYS,1,RORAIMA AIRWAYS,1,0.984
q3_30,TIMEHRI AIRPORT,1,TIMHERI AIRPORT,1,0.984
q3_30,BOSIA MINERAL INC,5,BOAIS MINERAL INC,1,0.984
q3_30,GUYANA SUAGR COOPERATION,1,GUYANA SUGAR  COOPERATION,1,0.984
q3_30,DEMERARA TIMBER LIMITED,6,DEMERARA TIMBERS LLIMITED,1,0.984
q3_30,JOHN MINING,1,JOHNS MINING,1,0.983
q3_30,GUYANA SUGAR CORPORATION,18,GUYANA SUFAR CORPORATION,1,0.983
q3_30,MAZARUNI RIVER,5,MAZURANI RIVER,1,0.983
q3_30,MINISTRY OF COMMUNITIES,3,MINISTRY OF COMMITIES,1,0.983
q3_30,GUYANA SUGAR VORPORATION (GUYSUCO),1,GUYANA SUGAR CORPORATION ( GUYSUCO),1,0.983
q3_30,GUYANA SUGAR VORPORATION (GUYSUCO),1,GUYANA SUGAR CORPORATION  (GUYSUCO),1,0.983
q3_30,BRANDS SECURITY SERVICE,1,BRANS SECURITY SERVICES,1,0.983
q3_30,PRINCESS HOTEL,5,PRICESS HOTEL,1,0.983
q3_30,GUYSUCO (ALBION ESTATE),2,GUYSUCO ALBION ESTATE,1,0.983
q3_30,GUYANA SUGSR CORPORATION (GUYSUCO),1,GUYANA SUGWR CORPORATION ( GUYSUCO),1,0.983
q3_30,SCOTIA BANK,4,SCOTIABANK,1,0.982
q3_30,GUYANA POWER AND LIGHT,12,GUYANA POWER ANDNLIGHT,1,0.982
q3_30,MAYOR AND TOWN COUNCLE,1,MAYOR AND TOWN COUNCIL,1,0.982
q3_30,JOHN FERNANDEZ COMPANY,1,JOHN FERNANDES COMPANY,1,0.982
q3_30,B&T VAREITY,1,B&T VARIETY,1,0.982
q3_30,BOURDA MARKET,2,BOUDRA MARKET,1,0.982
q3_30,VARIETY WOODS AND GREENHEART LTD,4,VARIETY WOODS AND GEREENHEART LTD,1,0.981
q3_30,VARIETY WOOD AND GREENHEART LTD,6,VARIETY WOODS AND GREEBHEART LTD,1,0.981
q3_30,CONSTRUCTION,18,CONTRUCTION,1,0.981
q3_30,MINISTRY OF EDUCATION,53,MINISTRY OF EFUCATION,1,0.981
q3_30,CYPHIL'S GROCERYS SHOP,1,CYPHIL'S GROCERY SHOP,1,0.981
q3_30,NATIONAL DRAINAGE AND IRRIGATION,1,NATIONAL DRAINAGE AND ARRIGATION,1,0.981
q3_30,GUYANA POST OFFICE CORPORATION,1,GUYANA POST OFFICE COOPERATION,1,0.98
q3_30,COOURTNEY BENN CONSTRUCTION,1,COURTNEY BENN CONSTRUCTIONS,1,0.98
q3_30,IRFAN ALLI SHOP,1,IFRAN ALLI SHOP,1,0.98
q3_30,HUSSIN VOLCANIZING & TYRE SHOP,2,HUSSIN VOLCANAZING & TYRE SHOP,1,0.98
q3_30,PRETTY PAUL INVESTMENT,1,PREETY PAUL INVESTMENT,1,0.979
q3_30,MINISTRY OF FINANCE,4,MINISTRY  OF FINANCE,1,0.979
q3_30,DTL DEMERARA TIMBER LIMITED,3,D.T.L DEMERARA TIMBER LIMITED,1,0.979
q3_30,VARIETY WOODS AND GREENHEART,4,VARIETY WOODDS AND GREENHEART,1,0.979
q3_30,B PERSAUD FOOD SHOP,3,B PERSAUD FOOD SHOO,1,0.979
q3_30,JOHN FERNANDES GROUP OF COMPANIES :FAIRFIELD INVESTMENTS,1,JOHN FERNANDES GROUP OF COMPANIES:FAIRFIELD INVESTMENTS,1,0.978
q3_30,HOMESAFE,1,HOME SAFE,1,0.978
q3_30,JOHN FERNANDES GROUP OF COMPANIES: FAIRFIELD INVESTMENTS,1,JOHN FERNANDES GROUP OF COMPANIES:FAIRFIELD INVESTMENTS,1,0.978
q3_30,MASSY DISTRIBUTION,1,MASSY DISTRIBUTIOH,1,0.978
q3_30,MINISTRY OF SOCIAL COHESION,3,MINISTRY OF SOCIAL CHESION,1,0.977
q3_30,HOME SAFE SECURITY SERVICW,1,HOME SAFE SECRUITY SERVICE,1,0.977
q3_30,D DEFFERITAS AND ASSOCIATE,1,D DEFRIETAS AND ASSOCIATES,1,0.977
q3_30,MINISTRY OF EDUCTION,1,MINSTRY OF EDUCATION,1,0.977
q3_30,DONT KNOW,2,DON'T KNOW,2,0.977
q3_30,CONSTRUCTION SITE,2,CONSTURCTION SITES,1,0.977
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON SITE",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON BUS",1,0.977
q3_30,KHEMRAJ'S FARM,1,HEMRAJ'S FARM,1,0.976
q3_30,GUYANA  SUGAR COOPERATION,2,GUYANA SUGAR  COOPERATION,1,0.976
q3_30,VARIETY WOODS AND GREENHEART LTD,4,VARIETY WOODS AND GREENHEART,4,0.975
q3_30,GUYANA WATER INC,3,GUYANA WATER INK,2,0.975
q3_30,BEEPATS,1,BEEPAT'S,1,0.975
q3_30,KISHORE DINDISL PALOUR & GROCERY,1,KISHORE DINDIAL PALOUR & GROCERY,1,0.975
q3_30,GUYANA SUGAR COOPERATION,27,GUYANA SUGAR CORPORATION,18,0.975
q3_30,NO FIXED PLACE,16,NO FIXED PLACED.,1,0.975
q3_30,VARIETY WOOD AND GREENHEART LTD,6,VARIETY WOODS AND GEREENHEART LTD,1,0.975
q3_30,GUYANA  SUGAR COOPERATION,2,GUYANA SUAGR COOPERATION,1,0.975
q3_30,WASHBAY,2,WASH BAY,1,0.975
q3_30,NAND PERSAUD INTERNATIONAL COMMUNICATION(NPIC),1,NAND PERSAUD INTERNATIONAL COMMUNICATION,1,0.974
q3_30,HOME DESIGN CONSTRUCTION,1,HOME DESIGN CONSRUCTION,1,0.974
q3_30,TELEPERFORMANCE,3,TELE PREFORMANCE,1,0.974
q3_30,CYRIL POTTER COLLEGE OF EDUCATION CPCE,1,CYRIL POTTER COLLEGE OF EDUCATION,1,0.974
q3_30,TELEPROFERMANCE,1,TELE PREFORMANCE,1,0.974
q3_30,NATIONAL LIBRARY,1,NATIONAL LIBARY,1,0.974
q3_30,HUMPHREY BAKERY,2,HUMPHERY BARKEY,1,0.973
q3_30,ROHAN'S CONSTRUCTION,1,RON'S CONSTRUCTION,1,0.973
q3_30,ORIGNIAL SIP RESTURANT,1,ORIGINAL SIP RESTAURANT,1,0.973
q3_30,UNIVERSITY OF GUYANA BERBICE CAMPUS,1,UNIVERSITY OF GUYANA  BERBICE CAMPUS,1,0.972
q3_30,PRETTY PAUL FISHERIES,2,PRETTY  PAUL FISHERIES,1,0.972
q3_30,DEMERARA BANK LIMITED,1,DEMERARA  BANK LIMITED,1,0.972
q3_30,REGIONAL DEMOCRATIC COUNCIL REGION 5,1,REGIONAL DEMOCRATIC COUNCIL REG 6,1,0.972
q3_30,JACK CONSTRUCTION LTD,1,JACKS CONSTRUCTION LTD,1,0.972
q3_30,Guysocu,6,Guysuco,4,0.971
q3_30,GAFOOR,1,GAFOORS,1,0.971
q3_30,FARMER,1,FARMERS,1,0.971
q3_30,MINISTRY OF EDUCTION,1,MINISTRY OF EFUCATION,1,0.971
q3_30,PRIVATE HOME,6,PRIVATE  HOMES,1,0.971
q3_30,DEMERARA DISTILLERS LIMITED,2,DEMERARA DISTILLERS LTD,1,0.97
q3_30,SELF  EMPLOYED,1,SELF EMLPOYED,1,0.97
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON FARM",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON A TRUCK",1,0.97
q3_30,TRANSPORT AND HARBOUR,2,TRANSPORT AND HABOUR,1,0.97
q3_30,SELF EMPLOEYD,1,SELF  EMPLOYED,1,0.97
q3_30,GEORGETOWN PUBLIC HOSPITAL,8,GEORGETOWN  PUBLIC HOSPITAL,2,0.97
q3_30,ALLY'S BAKERY,1,ALLY BAKERY,1,0.969
q3_30,SELF EMPLOY,28,SELF EMPLOEYD,1,0.969
q3_30,SELF EMPLOYED,40,SELF-EMPLOYED,8,0.969
q3_30,SELF EMPLOYED,40,SELF EMPLOY,28,0.969
q3_30,VARIETY WOODS AND GEREENHEART LTD,1,VARIETY WOODS AND GREEBHEART LTD,1,0.969
q3_30,DEMERARA DISTILE LIMITED,3,DEMERARA DISTILLERS LIMITED,2,0.969
q3_30,SECURITY FORM,2,SECURITY FIRM,1,0.969
q3_30,GUYANA WATER INCOOPERATION,1,GUYANA WATER IN CO ORATION,1,0.969
q3_30,SELF EMPLOEYD,1,SELF EMLPOYED,1,0.969
q3_30,RONALD'S OFF LICENCE LIQUOR SHOP,2,RONALD'S OFF LICENCE LIQUOR,1,0.969
q3_30,HOME SAFE SECURITY SERVICW,1,HOME SAFE SECRUITY SERVICES,1,0.969
q3_30,JOHN MINING,1,JOHN'S MINING,1,0.969
q3_30,TRAN GYANA AIR WAYS,1,TRANS GUYANA AIRWAYS,1,0.969
q3_30,COMMUNITY DEVELOPMENT PLAN,1,COMMUNITY DEVELOPMENT PLANS CDP,1,0.968
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON BUS",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON FARM",1,0.968
q3_30,TIMEHRI AIRPORT,1,TIMHERIAIRPORT,1,0.968
q3_30,BOSAI MINERALS GROUP GUYANA INC,2,BOSAI MINERAL GROUP GUYANA,1,0.968
q3_30,MASSEY DISTRIBUTION,1,MASSY DISTRIBUTIOH,1,0.968
q3_30,GUYANA SUGAR CORPORATION,18,GUYANA SUGAR  COOPERATION,1,0.967
q3_30,VARIETY WOOD AND GREENHEART LTD,6,VARIETY WOODS AND GREENHEART,4,0.967
q3_30,GUYANA SUGAR COOPERATION,27,GUYANA  SUGAR COOPERATION,2,0.967
q3_30,BUNBUSH,1,BURNBUSH,1,0.967
q3_30,NOBLE HOUSE SEAFOODS LTD,1,NOBLE HOUSE SEAFOODS,1,0.967
q3_30,MONEPHA'S SNACKETTE,1,MONEPHA SNACKETTE,1,0.967
q3_30,NARIE,1,NARINE,1,0.967
q3_30,HENRICK'S FARM,2,HENDRICKS FARM,1,0.967
q3_30,NAREI,1,NAREIE,1,0.967
q3_30,DEMERARA DISTILE LIMITED,3,DEMERARA DISTIL LIMITED,1,0.966
q3_30,GUYANA SUGAR CORPORATION,18,GUYANA SUAGR COOPERATION,1,0.966
q3_30,MINSTRY OF EDUCATION,1,MINISTRY OF EFUCATION,1,0.966
q3_30,GUYANA POLICE FORCE,46,GUYANA POLICE FORCE #51,1,0.965
q3_30,CHEDDIE JAGAN INTERNATIONAL AIRPORT,2,CHEDDI JAGAN INTERNATIONAL AIRPORT,2,0.965
q3_30,HOME SAFE SECURITY,8,HOMESAFE SECURITY,6,0.965
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON BUS",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON A TRUCK",1,0.965
q3_30,FAROOD MARBLE STONE MAN,1,FAROOD MARBLE STONE,1,0.965
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON BUS",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON EMPLOYER BUS",1,0.965
q3_30,WOODLAND HOSPITAL,1,WOODLANDS HOSPITAL,1,0.965
q3_30,GUYANA SUGAR CORPORATION ( GUYSUCO),1,GUYANA SUGWR CORPORATION ( GUYSUCO),1,0.965
q3_30,Family farm,39,Familynfarm,1,0.964
q3_30,HOME SAFE,1,HOME SAFETY,1,0.964
q3_30,GUYANA DEFENCE FORCE,27,GUYSNA DEFENCE FORCE,1,0.964
q3_30,GUYANA SUGAR CORPORATION (GUYSUCO),27,GUYANA SUGSR CORPORATION (GUYSUCO),1,0.964
q3_30,GUYANA POWER AND LIGHT,12,GUYANA POWER LIGHT,1,0.964
q3_30,GUYANA POWER ANDNLIGHT,1,GUYANA POWER LIGHT,1,0.964
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON SITE",1,"NO OFFICIAL BUSINESS NAME, JUST WORK ON FARM",1,0.964
q3_30,MABARUMA REGIONAL ADMINISTRATION,1,MABARUMA REGIONAL ADMINISTRATION OFFICE,1,0.964
q3_30,PRESSY INTERPRISE,1,PRESSY ENTERPRISE,1,0.964
q3_30,REGIONAL DEMOCRATIC COUNCIL,17,REGIONAL DEMOCRATIC COUNCIL REG 6,1,0.964
q3_30,NATIONAL LIBERARY,2,NATIONAL LIBARY,1,0.963
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK ON BUS",1,"NO OFFICIAL BUSINESS NAME, JUST WORKS ON SITE",1,0.963
q3_30,JACKS CONSTRUCTION LTD,1,JACK CONSTRUCTION  LTD,1,0.963
q3_30,PEGASUS HOTEL,1,PEGUAS HOTEL,1,0.963
q3_30,VARIETY WOODS AND GREENHEART LTD,4,VAROETY WOODS AND GREENHEART LTD,1,0.963
q3_30,"NO OFFICIAL BUSINESS NAME, JUST WORK AT EMPLOYER HOME",3,NO OFFICIAL BUSINESS NAME JUST WORK AT EMPLOYER WORKSHOP,1,0.963
q3_30,TRANSPORT AND HABOUR,1,TRANSPORT AND HARBOURS,1,0.962
q3_30,ENMORE ESTATE GUYSUCO,6,ENMORE  ESTATE GUYSUCO,1,0.962
q3_30,MINISTRY OF EFUCATION,1,MINIDTRY OF EDUCATION,1,0.962
