variable,type,label,value_set_or_range,pct_missing_raw,pct_missing_cleaned,imputation_treatment,notes
q1_09,category,In which region was your mother living when you were born?,11 distinct values,5.44,5.44,Not imputed -- outside assigned cleaning/imputation scope,
q1_10,category,Where were you living five years ago?,5; In another Guyana region; In another city/village of this Guyana region; In another country; In this city/village,4.42,4.42,Not imputed -- outside assigned cleaning/imputation scope,
q1_11,category,Have you EVER attended school?,No; Yes,4.42,4.42,Not imputed -- outside assigned cleaning/imputation scope,
q1_12,category,Are you now enrolled in a school or in an educational institution?,No; Yes,11.55,11.55,Not imputed -- outside assigned cleaning/imputation scope,Structurally gated by q1_11 == 'Yes' (see config.SKIP_PATTERNS).
q1_13,category,What is the highest level of education that you have ATTENDED?,Post-secondary; Pre-primary; Primary; Secondary; University / Tertiary,11.55,11.55,Not imputed -- outside assigned cleaning/imputation scope,Structurally gated by q1_11 == 'Yes' (see config.SKIP_PATTERNS).
q1_14,category,What class did you COMPLETE?,11 distinct values,26.71,26.71,Not imputed -- outside assigned cleaning/imputation scope,
q1_15,category,What is the highest post-secondary level/degree that you have COMPLETED?,Bachelor's degree; Doctoral; Masters; Post graduate Certificate or Diploma; Technical/Vocational Certificate or Diploma; University Certificate or Diploma,92.7,92.7,Not imputed -- outside assigned cleaning/imputation scope,
q1_16,category,What is the highest examination that you have passed?,10 distinct values,73.84,73.84,Not imputed -- outside assigned cleaning/imputation scope,
q2_01,category,In the LAST 12 MONTHS have you received training for any occupation (for example,No; Yes,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,
q2_02,string,In what subject was your last training?,free text (366 distinct values),96.04,96.04,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py. Structurally gated by q2_01 == 'Yes' (see config.SKIP_PATTERNS).
q2_03,category,Where did you acquire MOST of this training?,Apprenticeship; Correspondence Course; On the job; On-site government; On-site private institution; Other; Virtual/Internet Learning,96.04,96.04,Not imputed -- outside assigned cleaning/imputation scope,Structurally gated by q2_01 == 'Yes' (see config.SKIP_PATTERNS).
q2_04,category,"In the LAST 7 DAYS, did you do any work for a wage, salary or tips EVEN IF ONLY ",No; Yes,31.55,31.55,Not imputed -- outside assigned cleaning/imputation scope,
q2_05,category,"In the LAST 7 DAYS, did you run or do any kind of business or farming, alone or ",No; Yes,56.24,56.24,Not imputed -- outside assigned cleaning/imputation scope,
q2_06,Int8,In the LAST 7 DAYS did you do any of the following activities EVEN IF ONLY FOR O,1–99,62.54,62.54,Not imputed -- outside assigned cleaning/imputation scope,
q2_07,category,"In the LAST 7 DAYS, did you help unpaid in a business or farm owned by a househo",No; Yes,62.71,62.71,Not imputed -- outside assigned cleaning/imputation scope,
q2_08,category,"Was this work in agriculture, livestock rearing or fishing?",No; Yes,91.82,91.82,Not imputed -- outside assigned cleaning/imputation scope,
q2_09,category,"IN GENERAL, are the products obtained from this activity for sale/ barter or are",Mainly for family use; Mainly for sale/ barter; Only for family use; Only for sale/barter,96.77,96.77,Not imputed -- outside assigned cleaning/imputation scope,
q2_10,category,"In the LAST 7 DAYS, were you absent from a paid job or a business, including a h",No; Yes,63.6,63.6,Not imputed -- outside assigned cleaning/imputation scope,
q2_11,category,Why were you absent from your work in the LAST 7 DAYS?,13 distinct values,97.05,97.05,Not imputed -- outside assigned cleaning/imputation scope,
q2_12,category,"Including the time that you have been absent, will you return to that same work
",After 3 months; Not sure to return; Within 3 months or less,99.07,99.07,Not imputed -- outside assigned cleaning/imputation scope,
q2_13,category,Do you continue receiving an income from your job during this absence?,No; Yes,99.62,99.62,Not imputed -- outside assigned cleaning/imputation scope,
q2_14,category,"During the LAST 30 DAYS, did you look for a job or tried to start a business?",No; Yes,65.89,65.89,Not imputed -- outside assigned cleaning/imputation scope,
q2_15,category,What did you MAINLY do in the LAST 30 DAYS to find a job or to try to start a bu,11 distinct values,94.93,94.93,Not imputed -- outside assigned cleaning/imputation scope,Structurally gated by q2_14 == 'Yes' (see config.SKIP_PATTERNS).
q2_16,category,"Even though you did not look for work in the LAST 30 DAYS, do you want to work f",No; Yes,70.96,70.96,Not imputed -- outside assigned cleaning/imputation scope,
q2_17,category,What was the MAIN reason why you did not seek work or try to start a business du,11 distinct values,90.66,90.66,Not imputed -- outside assigned cleaning/imputation scope,
q2_18,category,How long have you been without work and trying to find a job or start a business,1 to 2 years; 3 to 4 years; 3 to 5 months; 5 years or more; 6 to 12 months; Dont know; Less than 3 months,94.8,94.8,Not imputed -- outside assigned cleaning/imputation scope,
q2_19,category,"If an opportunity to work for pay or to start a business became available, could","No; Yes, in the last 7 days; Yes, within the next two weeks",65.89,65.89,Not imputed -- outside assigned cleaning/imputation scope,
q2_20,category,What is the MAIN reason why you do not want or you are not available to work?,"Engaged in subsistence farming/fishing; Housework/ family responsibilities; Illness, injury, disability; In school/ training; Off-season; Other; Retired, too old for work; Working conditions  not acceptable",77.89,77.89,Not imputed -- outside assigned cleaning/imputation scope,
q3_01,category,In the LAST 7 DAYS did you have more than one job or economic activity?,No; Yes,65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_02,category,What is the MAIN reason for you holding more than one job?,Additional income needed; Did not get a full time job; Financial independence; Hobby; Other,98.82,98.82,Not imputed -- outside assigned cleaning/imputation scope,
q3_03,Int8,How many hours do you USUALLY work PER WEEK in your MAIN JOB (the one that takes,1–98,65.43,66.07,"Median imputation, 88 row(s) filled (see ind_imputed.parquet)","Sentinel 99 (top-code) corrected to NaN in clean.py (88 rows), then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_04,Int8,How many hours do you USUALLY work per week in your other jobs?,1–84,98.82,98.82,Left missing (confirmed structural -- see notes),"Missingness is 100% structural (gated by q3_01 == 'Yes'); left missing, not imputed (0 incidental gaps confirmed among the 163 rows the question applies to)."
q3_05,Int64,Total hours USUALLY worked per week in ALL jobs,3–132,98.82,98.84,Not imputed -- outside assigned cleaning/imputation scope,"Derived: recomputed from q3_03 + q3_04 (clean.py, then again in impute.py after q3_03 was imputed), not independently corrected or imputed. Structurally gated by q3_01 == 'Yes', same as q3_04."
q3_06,category,What is the MAIN reason why you USUALLY work less than 40 hours per week?,10 distinct values,91.52,91.52,Not imputed -- outside assigned cleaning/imputation scope,
q3_07_1,Int8,Monday: hours ACTUALLY worked in Main job in last 7 days,0–24,65.43,65.53,"Median imputation, 14 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py, then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_07_2,Int8,Tuesday: hours ACTUALLY worked in Main job in last 7 days,0–24,65.43,65.54,"Median imputation, 15 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py, then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_07_3,Int8,Wednesday: hours ACTUALLY worked in Main job in last 7 days,0–24,65.43,65.53,"Median imputation, 14 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py, then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_07_4,Int8,Thursday: hours ACTUALLY worked in Main job in last 7 days,0–24,65.43,65.54,"Median imputation, 15 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py, then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_07_5,Int8,Friday: hours ACTUALLY worked in Main job in last 7 days,0–24,65.43,65.53,"Median imputation, 14 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py, then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_07_6,Int8,Saturday: hours ACTUALLY worked in Main job in last 7 days,0–24,65.43,65.54,"Median imputation, 15 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py, then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_07_7,Int8,Sunday: hours ACTUALLY worked in Main job in last 7 days,0–24,65.43,65.54,"Median imputation, 15 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py, then median-imputed in impute.py (population: has a main job, q3_16 not null)."
q3_08,Int8,Hours ACTUALLY worked in OTHER jobs in last 7 days,0–84,98.82,98.83,"Median imputation, 1 row(s) filled (see ind_imputed.parquet)","Sentinel -1 corrected to NaN in clean.py (1 row), then median-imputed in impute.py, restricted to respondents with a second job (q3_01 == 'Yes') -- imputing over the 'has a main job' population instead would have manufactured 4,626 fake values."
q3_09,Int64,Total hours ACTUALLY worked in MAIN job in last 7 days,0–168,65.43,65.55,Not imputed -- outside assigned cleaning/imputation scope,"Derived: recomputed from the seven daily-hours columns q3_07_1..7 (clean.py, then again in impute.py), not independently corrected or imputed."
q3_10,Int64,Total hours ACTUALLY worked in ALL jobs in last 7 days,0–135,98.82,98.85,Not imputed -- outside assigned cleaning/imputation scope,"Derived: recomputed from q3_09 + q3_08 (clean.py, then again in impute.py), not independently corrected or imputed."
q3_11,category,Would you want to work more hours for pay or profit than you USUALLY work?,No; Yes,65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_12,category,"If an opportunity for additional work became available, could you start working ",No; Yes,87.57,87.57,Not imputed -- outside assigned cleaning/imputation scope,
q3_13,category,Have you ever TRIED to work more hours in this job or in another job?,No; Yes,65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_14,category,When was the LAST TIME you tried to do this?,12 months ago and over; From 1 month to less than 3 months ago; From 3 months to less than 6 months ago; From 6 months to less than 12 months ago; In the past 30 days,92.23,92.23,Not imputed -- outside assigned cleaning/imputation scope,
q3_15,category,What did you MAINLY do when you tried to work more hours?,11 distinct values,92.23,92.23,Not imputed -- outside assigned cleaning/imputation scope,
q3_15b,string,Oher specify,free text (367 distinct values),96.29,96.29,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py.
q3_16,category,Status in employment,"Employee (for another person, for a company or for the government); Self-employed (with paid help); Self-employed (without paid help); Unpaid family worker",65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_17,category,Are you a farmer?,No; Yes,89.9,89.9,Not imputed -- outside assigned cleaning/imputation scope,
q3_18,category,Are you working on the basis of a written contract or is it on the basis of a ve,A verbal agreement; A written contract,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q3_19,category,Is your contract or agreement of a limited time duration or is it permanent with,Limited time; Permanent without time limit,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q3_20,category,What is the duration of your contract or agreement?,1 month or more but less than 3 months; 12 months or more but less than 24 months; 2 days or more but less than 1 month; 24 months or more; 3 months or more but less than 6 months; 6 months or more but less than 12 months; Daily,95.29,95.29,Not imputed -- outside assigned cleaning/imputation scope,
q3_21,category,How long have you been employed by your current employer based on a fixed term c,1 year or more but less than 2 years; 2 years or more but less than 3 years; 3 years or more; 6 months or more but less than 1 year; Less than 6 months,95.29,95.29,Not imputed -- outside assigned cleaning/imputation scope,
q3_22,category,Do you benefit from paid annual leave?,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q3_23,category,Do you benefit from compensation for unused leave?,Don't know; No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q3_24,category,Do you benefit from paid sick leave in case of illness?,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q3_25,category,"If you had a baby, would you benefit from maternity/paternity leave?",No; Possibily; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q3_26,category,Does your employer deduct contributions for the NIS (National Insurance Scheme)?,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q3_27,category,Are you a member of any union or professional association or employers associati,No; Yes,67.03,67.03,Not imputed -- outside assigned cleaning/imputation scope,
q3_28,category,What kind of accounts or records does your enterprise keep?,"Complete set of written accounts for tax purposes; No records are kept; Only through informal records of orders, sales, purchases; Simplified written accounts not for tax purposes",89.9,89.9,Not imputed -- outside assigned cleaning/imputation scope,
q3_29,string,"Are you contributing BY YOURSELF to any social security scheme, such as (
)?",1; 1 2; 2; 3,67.03,67.03,Not imputed -- outside assigned cleaning/imputation scope,
q3_30,string,"What is the name of the company, shop or place where you work?",free text (3131 distinct values),65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py.
q3_31,string,What are the MAIN products or services produced at your workplace?,free text (2398 distinct values),65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py.
isic_code,string,ISIC code,free text (269 distinct values),65.43,65.43,Left missing (confirmed structural -- see notes),"Leading zero stripped on export for some codes (e.g. '0729' -> '729'); corrected via zero-padding in classify_isic_section(). Missingness (9,064 rows) is 100% structural (no main job); left missing, not imputed."
q3_32,string,What is your job?,free text (1381 distinct values),65.44,65.44,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py.
q3_33,string,What are your most important activities or duties?,free text (3582 distinct values),65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py.
isco_code,string,ISCO code,free text (315 distinct values),65.43,65.43,Left missing (confirmed structural -- see notes),"Same leading-zero export issue as isic_code, corrected the same way. Missingness is 100% structural (no main job); left missing, not imputed."
q3_34,category,What is the type of ownership of your business/place where you are employed?,"Business owned by individual, family or partners; Corporate business/company (un-limited); Government (Central or Local); Other non-governmental private organization; State enterprise/public body",65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_35,category,"Is your business or the enterprise in wich you work registered in any national, ","Don't know; In Process; No; Yes, registered",73.6,73.6,Not imputed -- outside assigned cleaning/imputation scope,
q3_36,string,"Where is your business or the enterprise in which you work registered, or in the",free text (23 distinct values),87.68,87.68,Not imputed -- outside assigned cleaning/imputation scope,
q3_37,category,Where is your business or the enterprise in which you work located?,12 distinct values,65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_38,category,How many persons (including yourself) USUALLY work in the establishment or busin,1 person; 10 to 19 persons; 2 to 4 persons; 20 to 49 persons; 5 to 9 persons; 50 or more persons,65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_39,category,How many of these persons are family members of the business owner?,1 person; 10 to 49 persons; 2 to 4 persons; 5 to 9 persons; 50 or more persons; Don't know,88.62,88.62,Not imputed -- outside assigned cleaning/imputation scope,
q3_40,category,How long ago did you start working in this enterprise / business / for this empl,1 year or more but less than 5 years; 10 years or more; 5 years or more but less than 10 years; 6 months or more but less than 1 year; Less than 6 months,65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q3_41,category,What is your MAIN source of financial support?,11 distinct values,65.43,65.43,Not imputed -- outside assigned cleaning/imputation scope,
q4_01,category,How long ago have you been without work and seeking for work?,1 month and less than 3 months; 12 months or more; 3 months and less than 6 months; 6 months and less than 12 months; Less than 1 month,95.26,95.26,Not imputed -- outside assigned cleaning/imputation scope,
q4_02,category,Have you ever worked or had a job?,No; Yes,95.26,95.26,Not imputed -- outside assigned cleaning/imputation scope,
q4_03,category,What is the MAIN reason why you stopped working?,9 distinct values,96.42,96.42,Not imputed -- outside assigned cleaning/imputation scope,
q4_04,Int8,How many hours per week did you USUALLY work in your last job?,-1–99,96.42,96.42,Not imputed -- outside assigned cleaning/imputation scope,
q4_05,category,What was your employment status in your LAST JOB?,Government employee; Private employee (work for another person or company); Self-employed (with paid help); Self-employed (without paid help); Unpaid family worker,96.42,96.42,Not imputed -- outside assigned cleaning/imputation scope,
q4_06,category,Were you a farmer in your LAST JOB?,No; Yes,99.62,99.62,Not imputed -- outside assigned cleaning/imputation scope,
q4_07,category,What type of worker were you in your last job?,Home Worker/Sub Contractor; Paid Casual; Paid Permanent; Paid Temporary; Paid apprentice/intern,96.8,96.8,Not imputed -- outside assigned cleaning/imputation scope,
q4_08,category,In what country was this last job?,Guyana; Other; Other Caribbean country; South/Central America/Mexico; U.S.A.,96.42,96.42,Not imputed -- outside assigned cleaning/imputation scope,
q4_09,category,What is your MAIN source of financial support?,10 distinct values,95.26,95.26,Not imputed -- outside assigned cleaning/imputation scope,
q5_01,category,To which of the following groups do you belong?,Housewife; Other; Retired/ Old age; Student; Unable to work,70.63,70.63,Not imputed -- outside assigned cleaning/imputation scope,
q5_02,category,"Have you ever worked, either for others or in your own business?",No; Yes,70.63,70.63,Not imputed -- outside assigned cleaning/imputation scope,
q5_03a,Int8,How long ago did you stop working? (months),-1–61,85.71,85.71,Not imputed -- outside assigned cleaning/imputation scope,
q5_03b,Int8,How long ago did you stop working? (years),-1–11,85.71,85.71,Not imputed -- outside assigned cleaning/imputation scope,
q5_04,category,What was your employment status in your last job?,Government employee; Private employee (work for another person or company); Self-employed (with paid help); Self-employed (without paid help); Unpaid family worker,85.71,85.71,Not imputed -- outside assigned cleaning/imputation scope,
q5_05,category,Were you a farmer in your LAST JOB?,No; Yes,97.63,97.63,Not imputed -- outside assigned cleaning/imputation scope,
q5_06,category,In what country was this last job?,Canada; Great Britain; Guyana; Other; Other Caribbean country; South/Central America/Mexico; U.S.A.,85.71,85.71,Not imputed -- outside assigned cleaning/imputation scope,
q5_07,category,What was your MAIN source of financial support during the LAST 7 DAYS?,10 distinct values,70.63,70.63,Not imputed -- outside assigned cleaning/imputation scope,
q6_01,Int64,Exact income: income from Main job IN THE LAST MONTH IN TERMS OF NET salary,-1–1650000,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_01b,category,Income bracket: income from Main job IN THE LAST MONTH IN TERMS OF NET salary,14 distinct values,97.65,97.65,Not imputed -- outside assigned cleaning/imputation scope,
q6_02a,category,"Received comissions, benefits, provisions in the last month in Main job",No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_02b,category,Received overtime pay (NET) in the last month in Main job,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_02c,category,Received travel/other allowances in the last month in Main job,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_02d,category,Received bonus in the last month in Main job,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_02e,category,Received special holiday pay in the last month in Main job,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_02f,category,"Received job related Government transfers (accident, illness, maternity) in the ",No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03a,category,Received food and drinks as compensations in kind in the last month in Main job,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03b,category,Received housing and related services as compensations in kind in the last month,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03c,category,Received health care as compensations in kind in the last month in Main job,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03d,category,"Received transportation (vehicle, gas, tolls) as compensations in kind in the la",No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03e,category,Received clothes as compensations in kind in the last month in Main job,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03f,category,Received nurseries or child care as compensations in kind in the last month in M,No,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03g,category,Received education for children as compensations in kind in the last month in Ma,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03h,category,Received products or services of the enterprise you work for as compensations in,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_03i,category,Received any other type of in-kind pay as compensations in kind in the last mont,No; Yes,77.13,77.13,Not imputed -- outside assigned cleaning/imputation scope,
q6_04a,Int64,"Comissions, benefits, provisions: income in the last month in Main job",-1–360000,99.63,99.63,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_04b,Int64,Overtime pay (NET): income in the last month in Main job,-1–300000,97.88,97.88,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_04c,Int64,Travel/other allowances: income in the last month in Main job,-1–245000,98.88,98.88,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_04d,Int64,Bonus: income in the last month in Main job,-1–200000,99.62,99.62,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_04e,Int32,Special holiday: income in the last month in Main job,-1–31000,99.8,99.8,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_04f,Int64,Job related Government transfers: income in the last month in Main job,130000–130000,99.99,99.99,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05a,Int64,Value of food and drinks received in the last month in Main job,-1–252000,96.87,96.87,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05b,Int64,Value of housing and related services received in the last month in Main job,-1–400000,99.09,99.09,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05c,Int64,Value of health care received in the last month in Main job,-1–100000,99.82,99.82,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05d,Int64,"Value of transportation (vehicle, gas, tolls) received in the last month in Main",-1–250000,99.18,99.18,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05e,Int32,Value of cothes received in the last month in Main job,-1–30000,99.75,99.75,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05f,Int8,Value of nurseries or child care received in the last month in Main job,,100.0,100.0,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05g,Int32,Value of education for children received in the last month in Main job,10000–20000,99.99,99.99,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05h,Int64,Value of products or services of the enterprise you work for received in the las,-1–250000,99.43,99.43,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_05i,Int64,Value of any other type of in-kind pay received in the last month in Main job,2000–400000,99.95,99.95,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_06,Int64,Exact income: cash amount withdrawn from business in THE LAST MONTH - Main job,-1–20000000,89.9,89.9,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_06b,category,Income bracket: cash amount withdrawn from business in THE LAST MONTH - Main job,14 distinct values,98.87,98.87,Not imputed -- outside assigned cleaning/imputation scope,
q6_07,Int64,Products or services from business used to consume at home in THE LAST MONTH,-1–800000,92.23,92.23,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_08,category,Foods from own production consumed at home in THE LAST MONTH,No; Yes,97.68,97.68,Not imputed -- outside assigned cleaning/imputation scope,
q6_09,Int64,Value of foods from own production consumed at home in THE LAST MONTH,-1–50000,98.34,98.34,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_10,Int64,Income from OTHER jobs IN THE LAST MONTH,-1–5500000,98.82,98.82,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_11,Int64,Exact income: NIS pension in the last month,-1–2700000,89.34,89.34,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_12,Int64,Exact income: Old age pension in the last month,-1–57000,92.64,92.64,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
q6_13,Int64,Exact income: Service pension in the last month,-1–200000,79.48,79.48,Not imputed -- outside assigned cleaning/imputation scope,"Checked for outliers via 1.5x IQR in clean.py (flag-only, see <name>_flagged_for_review.csv)."
