hhid,member,panelid,weight,stratum,psu,block,domain,quarter,week,region,area,zone,psu_centroid_lat,psu_centroid_long,q1_02,q1_03,q1_04,q1_05,q1_06,q1_07,q1_08,q1_09,q1_10,q1_11,q1_12,q1_13,q1_14,q1_15,q1_16,q2_01,q2_02,q2_03,q2_04,q2_05,q2_06,q2_07,q2_08,q2_09,q2_10,q2_11,q2_12,q2_13,q2_14,q2_15,q2_16,q2_17,q2_18,q2_19,q2_20,q3_01,q3_02,q3_03,q3_04,q3_05,q3_06,q3_07_1,q3_07_2,q3_07_3,q3_07_4,q3_07_5,q3_07_6,q3_07_7,q3_08,q3_09,q3_10,q3_11,q3_12,q3_13,q3_14,q3_15,q3_15b,q3_16,q3_17,q3_18,q3_19,q3_20,q3_21,q3_22,q3_23,q3_24,q3_25,q3_26,q3_27,q3_28,q3_29,q3_30,q3_31,isic_code,q3_32,q3_33,isco_code,q3_34,q3_35,q3_36,q3_37,q3_38,q3_39,q3_40,q3_41,q4_01,q4_02,q4_03,q4_04,q4_05,q4_06,q4_07,q4_08,q4_09,q5_01,q5_02,q5_03a,q5_03b,q5_04,q5_05,q5_06,q5_07,q6_01,q6_01b,q6_02a,q6_02b,q6_02c,q6_02d,q6_02e,q6_02f,q6_03a,q6_03b,q6_03c,q6_03d,q6_03e,q6_03f,q6_03g,q6_03h,q6_03i,q6_04a,q6_04b,q6_04c,q6_04d,q6_04e,q6_04f,q6_05a,q6_05b,q6_05c,q6_05d,q6_05e,q6_05f,q6_05g,q6_05h,q6_05i,q6_06,q6_06b,q6_07,q6_08,q6_09,q6_10,q6_11,q6_12,q6_13,q6_11b,q6_12b,q6_13b,q6_14,q6_15,q6_16,q6_17,q6_18,q6_19,q6_20a,q6_20b,q6_21,q6_22,q6_23,q6_24a,q6_24b,q6_25
01 0006 004 2,1,101,86.75137429796524,01 0,01 0006,4,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Head,Male,62,Living together,Mixed,Guyana,,Region 2,In this city/village,Yes,No,Primary,Std 3/Grd 5,,College of Preceptors (CP),No,,,Yes,,,,,,,,,,,,,,,,,Yes,Hobby,49,8,57,,14,11,11,11,7,7,0,8,61,69,Yes,Yes,Yes,In the past 30 days,Other,SUPERVISE THE WIRKERS,Self-employed (with paid help),No,,,,,,,,,,No,Complete set of written accounts for tax purposes,1 2,ANDRE .A .V RAGOOBEER'S GENERAL CONSTRUCTION,CONSTRUCTION,4100,ADMINISTRATION AND SUPERVISION ACTIVITIES,MAKING SURE THE JOB IS COMOLETE IN TIME AND AT A HIGH QUALITY,3123,"Business owned by individual, family or partners","Yes, registered",1 2 3,"In a fixed shop, store",20 to 49 persons,2 to 4 persons,10 years or more,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000,,0,,,5500000,93000,,0,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 004 2,2,102,86.75137429796524,01 0,01 0006,4,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Head,Female,36,Living together,Ameridian,Guyana,,Region 1,In another city/village of this Guyana region,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 5+,Yes,TRAMA INVENTION ( SCHOOL WELFARE),On the job,Yes,,,,,,,,,,,,,,,,,No,,40,,,,8,8,8,8,8,8,8,,56,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A written contract,Permanent without time limit,,,Yes,No,Yes,Yes,Yes,No,,3,DEPARTMENT OF EDUCATION,VISIT HOMES AND SCHOOLNTONENSURE EVERY CHILD OF SCHOOL AGE IS ATTENDING SCHOOL,8550,SCHOOL WELFARE OFFICER,MAKING SURE THE CHILDREN DONT STAY HOME FROM SCHOOL ON A SCHOOL DAY,2359,Government (Central or Local),,,"In a fixed factory, office",2 to 4 persons,,5 years or more but less than 10 years,Spouse/Partner,,,,,,,,,,,,,,,,,,80000,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,3500,,,600,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 006 1,1,101,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Head,Male,35,Living together,East Indian,Guyana,,Region 4,In this city/village,Yes,No,Primary,Std 3/Grd 5,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,78,,,,13,13,13,13,13,13,0,,78,,No,,No,,,,Self-employed (with paid help),No,,,,,,,,,,No,No records are kept,3,DERICK'S STALL,GASOLINE AND WATER COCONUT,4789,SELLING OF GASOLINE AND WATER COCONUT,MAKING SURE THE GADOLINE IS OF HIGH QUALITY (NO WAYER IN THE GASOLINE),5211,"Business owned by individual, family or partners",No,,"On an empty, private lot",1 person,,1 year or more but less than 5 years,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 006 1,2,102,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Spouse/ partner,Female,30,Living together,Mixed,Guyana,,Region 1,In this city/village,Yes,No,Secondary,Frm 4/Grd 10,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,60,,,,10,10,18,10,10,10,0,,68,,Yes,Yes,No,,,,Self-employed (with paid help),No,,,,,,,,,,No,No records are kept,3,SIMONE'S SHOP,"DRINGS, SWEETS, PACK SNACKS BISCUITS ETC",4719,SHOP KEEPET,ISSUING GOODS ACCORDING TO VUSTOMERS ORDER AND MAKING CORREVT CHANGE,5221,"Business owned by individual, family or partners",No,,"In a fixed shop, store",1 person,,6 months or more but less than 1 year,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,4500,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 006 1,3,103,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Male,6,,Mixed,Guyana,,Region 1,In this city/village,Yes,Yes,Primary,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 006 1,4,104,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,1,,Mixed,Guyana,,Region 1,In this city/village,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 015 9,1,101,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Head,Male,60,Living together,Ameridian,Guyana,,Region 1,In this city/village,No,,,,,,No,,,No,No,99,No,,,No,,,,No,,No,,,No,"Illness, injury, disability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired/ Old age,Yes,3,0,Private employee (work for another person or company),,Guyana,Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 015 9,2,102,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Spouse/ partner,Female,33,Living together,Ameridian,Guyana,,Region 1,In this city/village,No,,,,,,No,,,No,No,99,No,,,No,,,,No,,No,,,"Yes, within the next two weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,No,,,,,,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 015 9,3,103,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Spouse/ partner,Male,12,Not Married/ Never lived together,Ameridian,Guyana,,Region 1,In this city/village,Yes,Yes,Secondary,Std 4/Grd 6,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 015 9,4,104,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,9,,Ameridian,Guyana,,Region 1,In this city/village,Yes,Yes,Primary,Std 3/Grd 5,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 015 9,5,105,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Male,9,,Ameridian,Guyana,,Region 1,In this city/village,Yes,Yes,Primary,Std 1/Grd 3,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 015 9,6,106,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Head,Female,7,,Ameridian,Guyana,,Region 1,In this city/village,Yes,Yes,Primary,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 015 9,7,107,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,5,,Ameridian,Guyana,,Region 1,In this city/village,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 015 9,8,108,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,3,,Ameridian,Guyana,,Region 1,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 015 9,9,109,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,0,,Ameridian,Guyana,,Region 1,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 029 8,1,101,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Head,Male,40,Living together,Ameridian,Guyana,,Region 1,In this city/village,Yes,No,Secondary,Frm 4/Grd 10,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,84,,,,12,12,12,12,12,12,12,,84,,No,,No,,,,Self-employed (with paid help),No,,,,,,,,,,No,Complete set of written accounts for tax purposes,3,GEGRY'S DREDGE,GOLD MINING,0729,GENERAL MANAGER / OWNER,MAKING SURE THE MEN ARE AT THE WORK SITE EQUIPMENT ARE READY FOR WORK AND ARE IN WORKING CONDITION,1322,"Business owned by individual, family or partners","Yes, registered",1,"On an empty, private lot",5 to 9 persons,1 person,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,No
01 0006 029 8,2,102,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Spouse/ partner,Female,38,Living together,Ameridian,Guyana,,Region 1,In this city/village,Yes,No,Secondary,Frm 3/Grd 9,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,48,,,,8,8,8,8,8,8,0,,48,,Yes,Yes,No,,,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Limited time,3 months or more but less than 6 months,6 months or more but less than 1 year,No,No,No,No,No,No,,3,DEXTER GAMELL'S SHOP,HOUSE HOLD ITEMS AND BEVERAGES,4711,SALES GIRL,ISSUING ITEMS ACCORDING TO CUSTOMERS ORDER,5223,"Business owned by individual, family or partners","Yes, registered",1,"In a fixed shop, store",2 to 4 persons,Don't know,5 years or more but less than 10 years,Yourself,,,,,,,,,,,,,,,,,,42000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,No
01 0006 029 8,3,103,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Step/ adopted child,Male,13,Not Married/ Never lived together,Ameridian,Guyana,,Region 1,In this city/village,Yes,Yes,Secondary,Frm 1/Grd 7,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 029 8,4,104,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Step/ adopted child,Male,15,Not Married/ Never lived together,Ameridian,Guyana,,Region 1,In this city/village,Yes,No,Secondary,Frm 3/Grd 9,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,40,,,,8,8,8,8,8,0,0,,40,,Yes,Yes,No,,,,"Employee (for another person, for a company or for the government)",,A verbal agreement,Limited time,1 month or more but less than 3 months,Less than 6 months,No,No,No,No,No,No,,3,ANDY GAMELL'S SHOP,HOUSE HOLD ITEMS,4771,SALES BOY,HELP BRING FOOD ITRMS FROM THE BOND ALSO PACH THE BOND WHEN FOOD ITEMS COME IN ON THE BOAT,5223,"Business owned by individual, family or partners","Yes, registered",1,"In a fixed shop, store",5 to 9 persons,2 to 4 persons,Less than 6 months,Yourself,,,,,,,,,,,,,,,,,,36000,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,No,,,Yes
01 0006 029 8,5,105,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Step/ adopted child,Female,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 029 8,6,106,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Step/ adopted child,Female,11,Not Married/ Never lived together,Ameridian,Guyana,,Region 1,In this city/village,Yes,Yes,Primary,Std 3/Grd 5,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 029 8,7,107,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Step/ adopted child,Female,7,,Ameridian,Guyana,,Region 1,In this city/village,Yes,Yes,Primary,Std 2/Grd 4,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 029 8,8,108,86.75137429796524,01 0,01 0006,6,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Parent/parent-in-law,Female,78,Widowed,Ameridian,Guyana,,Region 1,In this city/village,Yes,No,Primary,Std 1/Grd 3,,None,No,,,No,No,99,No,,,No,,,,No,,No,,,No,"Retired, too old for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired/ Old age,No,,,,,,Pension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27500,19000,27500,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 054 3,1,106,86.75137429796524,01 0,01 0006,4,Interior,174,6,01,Interior,Rural,8.2065611,-59.803223,Head,Male,44,Married,African/ Black,Guyana,,Region 1,In this city/village,Yes,No,Primary,Std 3/Grd 5,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,84,,,,12,12,12,12,12,12,12,,84,,No,,No,,,,Self-employed (with paid help),No,,,,,,,,,,No,No records are kept,3,COLIN'S SHOP,HIUSE HOLD ITEMS AND BEVERAGES,4719,SHOP KEEPER,REORDERING STOCKS,5221,"Business owned by individual, family or partners",No,,"In a fixed shop, store",1 person,,1 year or more but less than 5 years,Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,10000,,,,,,,,,,,0,0,0,0,5000,0,0,0,0,No,,,Yes
